event_id,timestamp,source_ip,destination_ip,username,event_type,severity,status,failed_attempts,mitre_technique
EVT-000001,2026-04-27T09:41:00,10.0.0.25,10.0.0.20,analyst,login_failed,Medium,allowed,4,T1110
EVT-000002,2026-04-18T11:54:00,45.155.205.233,10.0.0.20,hr,login_success,Medium,blocked,0,T1078
EVT-000003,2026-05-11T08:20:00,10.0.0.24,10.0.0.40,hr,malware_alert,Low,allowed,0,T1059
EVT-000004,2026-05-19T03:16:00,10.0.0.31,10.0.0.30,analyst,vulnerability_detected,Low,alerted,0,T1190
EVT-000005,2026-01-19T14:33:00,103.75.201.2,10.0.0.50,developer,login_failed,Medium,allowed,2,T1110
EVT-000006,2026-06-27T03:36:00,103.75.201.2,10.0.0.50,guest,brute_force,Low,blocked,0,T1110
EVT-000007,2026-05-09T06:19:00,10.0.0.59,10.0.0.30,admin,login_failed,High,investigating,8,T1110
EVT-000008,2026-02-20T14:29:00,10.0.0.20,10.0.0.30,developer,network_connection,Low,alerted,0,T1071
EVT-000009,2026-05-08T18:17:00,10.0.0.48,10.0.0.20,hr,brute_force,Medium,blocked,0,T1110
EVT-000010,2026-03-26T03:38:00,10.0.0.50,10.0.0.50,analyst,login_success,Medium,allowed,0,T1078
EVT-000011,2026-02-11T16:43:00,10.0.0.35,10.0.0.30,admin,vulnerability_detected,critical,alerted,0,T1190
EVT-000012,2026-02-08T16:58:00,10.0.0.51,10.0.0.40,analyst,malware_alert,Low,blocked,0,T1059
EVT-000013,2026-05-16T14:54:00,10.0.0.47,10.0.0.40,hr,network_connection,Low,blocked,0,T1071
EVT-000014,2026-01-26T04:22:00,185.220.101.1,10.0.0.10,analyst,network_connection,Medium,investigating,0,T1071
EVT-000015,2026-04-19T13:45:00,10.0.0.39,10.0.0.50,developer,login_failed,High,allowed,18,T1110
EVT-000016,2026-05-04T20:12:00,10.0.0.44,10.0.0.30,guest,ids_alert,Medium,allowed,0,T1046
EVT-000017,2026-02-23T10:19:00,10.0.0.56,10.0.0.30,hr,network_connection,High,allowed,0,T1071
EVT-000018,2026-06-08T11:21:00,10.0.0.42,10.0.0.50,analyst,malware_alert,Low,blocked,0,T1059
EVT-000019,2026-04-09T04:34:00,10.0.0.10,10.0.0.50,developer,brute_force,Medium,allowed,0,T1110
EVT-000020,2026-06-19T03:17:00,10.0.0.29,10.0.0.20,admin,login_success,Low,allowed,0,T1078
EVT-000021,2026-01-16T14:13:00,10.0.0.58,10.0.0.50,guest,ids_alert,HIGH,investigating,0,T1046
EVT-000022,2026-06-22T08:50:00,10.0.0.48,10.0.0.40,analyst,network_connection,High,blocked,0,T1071
EVT-000023,2026-05-10T18:55:00,10.0.0.51,10.0.0.30,finance,login_success,High,investigating,0,T1078
EVT-000024,2026-01-23T00:40:00,185.220.101.1,10.0.0.50,hr,login_success,Low,blocked,0,T1078
EVT-000025,2026-01-02T07:25:00,10.0.0.24,10.0.0.10,admin,login_failed,High,blocked,11,T1110
