indicator_id,indicator_type,indicator,threat_type,confidence_score,source
TI-0001,ip,185.220.101.1,botnet,95,Internal TI
TI-0002,ip,45.155.205.233,brute_force,90,Open Threat Feed
TI-0003,domain,malicious-example.net,phishing,88,Open Threat Feed
TI-0004,hash,d41d8cd98f00b204e9800998ecf8427e,malware,92,Sandbox
TI-0005,ip,103.75.201.2,scanner,85,Internal TI
TI-0006,domain,phishing-login.example,phishing,91,Open Threat Feed
TI-0007,ip,91.240.118.10,ransomware,97,Internal TI
TI-0008,hash,44d88612fea8a8f36de82e1278abb02f,malware,89,Sandbox
TI-0009,ip,198.51.100.42,botnet,80,Open Threat Feed
TI-0010,domain,credential-steal.example,credential_theft,94,Internal TI
